2.345681535083567540e-02	5.975500795707797685e-01	4.035415641908509876e+00	0.30   0.010
2.397548347013261916e-02	5.963743863309999282e-01	4.038858829316281707e+00	0.30   0.020
2.490339614038553084e-02	5.952518553311608729e-01	3.934216985763377306e+00	0.30   0.030
2.648196362496748474e-02	5.937747787034713953e-01	3.709852216748768416e+00	0.30   0.050
2.601355224734880345e-02	5.931282070098061743e-01	3.735830458353869066e+00	0.30   0.060
2.612922686372817077e-02	5.915245695846774732e-01	3.585017249876786494e+00	0.30   0.080
2.735174539916378905e-02	5.898179385138417885e-01	3.477915632754342568e+00	0.30   0.100
2.671058710521193730e-02	5.866917788443352100e-01	3.148695224027572515e+00	0.30   0.200
2.765006802332100125e-02	5.837482646858551671e-01	2.761018609206660201e+00	0.30   0.400
2.307381530841651554e-02	5.824933267040032225e-01	2.376960784313725483e+00	0.30   0.800
2.521460726482398912e-02	5.821646665026652956e-01	2.215127701375245728e+00	0.30   1.000
1.869016528074577549e-02	5.821202916825480855e-01	2.478603049680275561e+00	0.30   2.000
1.846197427856198503e-02	6.031260385382051226e-01	4.950122399020807862e+00	0.10   0.010
1.514502301412228372e-02	5.970914766926086470e-01	4.698203041007525727e+00	0.10   0.050
1.251855072791337870e-02	5.948187209756686800e-01	4.645561762880198842e+00	0.10   0.080
1.208650623867509218e-02	5.927385862784259052e-01	4.636080870917574259e+00	0.10   0.100
1.003883463632057951e-02	5.930432587227866259e-01	4.620689655172413701e+00	0.10   0.200
9.489168631829549699e-03	5.929109821086100407e-01	4.573202918801428041e+00	0.10   0.300
1.237556848030820118e-02	5.933267776654513881e-01	4.605812335755139486e+00	0.10   0.400
8.535326876003331703e-03	5.934296900830434707e-01	4.565548306927617261e+00	0.10   0.500
9.562553355502188129e-03	5.927990469294536213e-01	4.597863115515639088e+00	0.10   0.600
1.257916966018220173e-02	5.913814817073761443e-01	4.592168394985296054e+00	0.10   0.800
8.100622274325270863e-03	5.916996277800652404e-01	4.562344913151364700e+00	0.10   0.900
1.033228592841740380e-02	5.938862894259371306e-01	4.607958961604228243e+00	0.10   1.000
2.244162522565005050e-02	5.799043563517640720e-01	4.093830529028346099e+00	0.30   0.010
1.873198936672096360e-02	5.705356870190559926e-01	3.825754606036848138e+00	0.30   0.050
1.757012152849371164e-02	5.666877305727545666e-01	3.620824379761672152e+00	0.30   0.080
1.685059888203760750e-02	5.629524409979074218e-01	3.568455853753403240e+00	0.30   0.100
1.281050380685641241e-02	5.570688717450971161e-01	3.192568221405070794e+00	0.30   0.200
1.257135200685096689e-02	5.551385159459133467e-01	3.037487922705313981e+00	0.30   0.300
9.245134667935013192e-03	5.557448316922888321e-01	2.871972318339100383e+00	0.30   0.400
7.076189467390118885e-03	5.546537462860758882e-01	2.938245479030396456e+00	0.30   0.500
8.208686345571052437e-03	5.534461279078153328e-01	3.086915176873335831e+00	0.30   0.600
4.193139391244078175e-03	5.521119247547728870e-01	2.933013435700575933e+00	0.30   1.000
